Unnamed: 0,count,company,tod,used,old_date,date
39,2238,birdla,  9:00:05,-26,1/11/2020 21:00,1/11/2020 21:00
39,560,birdsm,  9:00:05,-11,1/11/2020 21:00,1/11/2020 21:00
39,5318,lime,  9:00:02,-1,1/11/2020 21:00,1/11/2020 21:00
39,290,spin,  9:00:06,3,1/11/2020 21:00,1/11/2020 21:00
40,610,wheels,  9:15:58,12,1/11/2020 21:15,1/11/2020 21:15
40,2210,birdla,  9:15:04,-28,1/11/2020 21:15,1/11/2020 21:15
135,554,birdsm,  9:15:08,-7,1/11/2020 21:15,1/11/2020 21:15
40,5316,lime,  9:15:01,-2,1/11/2020 21:15,1/11/2020 21:15
40,291,spin,  9:15:04,1,1/11/2020 21:15,1/11/2020 21:15
136,2085,birdla,  9:30:07,-4,1/11/2020 21:30,1/11/2020 21:30
40,557,birdsm,  9:30:00,3,1/11/2020 21:30,1/11/2020 21:30
88,5322,lime,  9:28:56,6,1/11/2020 21:30,1/11/2020 21:30
,290,spin,  9:30:04,-1,1/11/2020 21:30,1/11/2020 21:30
41,616,wheels,  9:44:50,6,1/11/2020 21:44,1/11/2020 21:45
41,2179,birdla,  9:44:55,94,1/11/2020 21:45,1/11/2020 21:45
41,542,birdsm,  9:44:55,-15,1/11/2020 21:45,1/11/2020 21:45
41,5311,lime,  9:44:53,-11,1/11/2020 21:45,1/11/2020 21:45
41,295,spin,  9:44:56,5,1/11/2020 21:45,1/11/2020 21:45
42,627,wheels,  9:59:49,11,1/11/2020 21:59,1/11/2020 22:00
42,2180,birdla,  9:59:54,1,1/11/2020 22:00,1/11/2020 22:00
42,538,birdsm,  9:59:55,-4,1/11/2020 22:00,1/11/2020 22:00
42,5313,lime,  9:59:52,2,1/11/2020 22:00,1/11/2020 22:00
42,297,spin,  9:59:55,2,1/11/2020 22:00,1/11/2020 22:00
43,617,wheels,  10:15:48,-10,1/11/2020 22:15,1/11/2020 22:15
43,2155,birdla,  10:15:55,-25,1/11/2020 22:15,1/11/2020 22:15
43,526,birdsm,  10:15:55,-12,1/11/2020 22:15,1/11/2020 22:15
43,5311,lime,  10:15:51,-2,1/11/2020 22:15,1/11/2020 22:15
43,297,spin,  10:15:56,0,1/11/2020 22:15,1/11/2020 22:15
44,619,wheels,  10:29:48,2,1/11/2020 22:29,1/11/2020 22:30
44,2160,birdla,  10:29:54,5,1/11/2020 22:30,1/11/2020 22:30
44,536,birdsm,  10:29:54,10,1/11/2020 22:30,1/11/2020 22:30
44,5302,lime,  10:29:52,-9,1/11/2020 22:30,1/11/2020 22:30
44,294,spin,  10:29:55,-3,1/11/2020 22:30,1/11/2020 22:30
45,622,wheels,  10:44:48,3,1/11/2020 22:44,1/11/2020 22:45
45,2123,birdla,  10:44:53,-37,1/11/2020 22:45,1/11/2020 22:45
45,519,birdsm,  10:44:53,-17,1/11/2020 22:45,1/11/2020 22:45
45,5303,lime,  10:44:50,1,1/11/2020 22:45,1/11/2020 22:45
45,295,spin,  10:44:53,1,1/11/2020 22:45,1/11/2020 22:45
46,608,wheels,  10:59:46,-14,1/11/2020 22:59,1/11/2020 23:00
46,2125,birdla,  10:59:51,2,1/11/2020 23:00,1/11/2020 23:00
46,540,birdsm,  10:59:52,21,1/11/2020 23:00,1/11/2020 23:00
46,5314,lime,  10:59:49,11,1/11/2020 23:00,1/11/2020 23:00
46,295,spin,  10:59:52,0,1/11/2020 23:00,1/11/2020 23:00
47,605,wheels,  11:15:45,-3,1/11/2020 23:15,1/11/2020 23:15
47,2114,birdla,  11:15:50,-11,1/11/2020 23:15,1/11/2020 23:15
47,525,birdsm,  11:15:51,-15,1/11/2020 23:15,1/11/2020 23:15
47,5308,lime,  11:15:48,-6,1/11/2020 23:15,1/11/2020 23:15
47,298,spin,  11:15:51,3,1/11/2020 23:15,1/11/2020 23:15
48,599,wheels,  11:29:43,-6,1/11/2020 23:29,1/11/2020 23:30
48,2117,birdla,  11:29:48,3,1/11/2020 23:30,1/11/2020 23:30
48,535,birdsm,  11:29:49,10,1/11/2020 23:30,1/11/2020 23:30
48,5314,lime,  11:29:46,6,1/11/2020 23:30,1/11/2020 23:30
48,296,spin,  11:29:49,-2,1/11/2020 23:30,1/11/2020 23:30
49,598,wheels,  11:44:42,-1,1/11/2020 23:44,1/11/2020 23:45
49,2070,birdla,  11:44:47,-47,1/11/2020 23:45,1/11/2020 23:45
49,522,birdsm,  11:44:47,-13,1/11/2020 23:45,1/11/2020 23:45
49,5307,lime,  11:44:45,-7,1/11/2020 23:45,1/11/2020 23:45
49,297,spin,  11:44:47,1,1/11/2020 23:45,1/11/2020 23:45
50,597,wheels,  11:59:40,-1,1/11/2020 23:59,1/12/2020 0:00
50,2085,birdla,  11:59:45,15,1/12/2020 0:00,1/12/2020 0:00
50,525,birdsm,  11:59:46,3,1/12/2020 0:00,1/12/2020 0:00
50,5302,lime,  11:59:43,-5,1/12/2020 0:00,1/12/2020 0:00
50,299,spin,  11:59:46,2,1/12/2020 0:00,1/12/2020 0:00
51,598,wheels,  12:15:39,1,1/12/2020 0:15,1/12/2020 0:15
51,2066,birdla,  12:15:45,-19,1/12/2020 0:15,1/12/2020 0:15
51,517,birdsm,  12:15:45,-8,1/12/2020 0:15,1/12/2020 0:15
51,5293,lime,  12:15:42,-9,1/12/2020 0:15,1/12/2020 0:15
51,298,spin,  12:15:46,-1,1/12/2020 0:15,1/12/2020 0:15
52,590,wheels,  12:29:38,-8,1/12/2020 0:29,1/12/2020 0:30
52,2076,birdla,  12:29:44,10,1/12/2020 0:30,1/12/2020 0:30
52,522,birdsm,  12:29:44,5,1/12/2020 0:30,1/12/2020 0:30
52,5276,lime,  12:29:41,-17,1/12/2020 0:30,1/12/2020 0:30
52,295,spin,  12:29:44,-3,1/12/2020 0:30,1/12/2020 0:30
53,595,wheels,  12:44:37,5,1/12/2020 0:44,1/12/2020 0:45
53,2056,birdla,  12:44:43,-20,1/12/2020 0:45,1/12/2020 0:45
53,512,birdsm,  12:44:43,-10,1/12/2020 0:45,1/12/2020 0:45
53,5281,lime,  12:44:40,5,1/12/2020 0:45,1/12/2020 0:45
53,296,spin,  12:44:44,1,1/12/2020 0:45,1/12/2020 0:45
54,613,wheels,  12:59:36,18,1/12/2020 0:59,1/12/2020 1:00
54,2052,birdla,  12:59:42,-4,1/12/2020 1:00,1/12/2020 1:00
54,502,birdsm,  12:59:43,-10,1/12/2020 1:00,1/12/2020 1:00
54,5281,lime,  12:59:39,0,1/12/2020 1:00,1/12/2020 1:00
54,291,spin,  12:59:43,-5,1/12/2020 1:00,1/12/2020 1:00
55,606,wheels,  1:15:36,-7,1/12/2020 1:15,1/12/2020 1:15
55,2055,birdla,  1:15:41,3,1/12/2020 1:15,1/12/2020 1:15
55,494,birdsm,  1:15:41,-8,1/12/2020 1:15,1/12/2020 1:15
55,5261,lime,  1:15:39,-20,1/12/2020 1:15,1/12/2020 1:15
55,294,spin,  1:15:42,3,1/12/2020 1:15,1/12/2020 1:15
56,606,wheels,  1:29:35,0,1/12/2020 1:29,1/12/2020 1:30
56,2045,birdla,  1:29:40,-10,1/12/2020 1:30,1/12/2020 1:30
56,502,birdsm,  1:29:40,8,1/12/2020 1:30,1/12/2020 1:30
56,5261,lime,  1:29:38,0,1/12/2020 1:30,1/12/2020 1:30
56,293,spin,  1:29:40,-1,1/12/2020 1:30,1/12/2020 1:30
57,608,wheels,  1:44:33,2,1/12/2020 1:44,1/12/2020 1:45
57,2056,birdla,  1:44:38,11,1/12/2020 1:45,1/12/2020 1:45
57,496,birdsm,  1:44:39,-6,1/12/2020 1:45,1/12/2020 1:45
57,5244,lime,  1:44:36,-17,1/12/2020 1:45,1/12/2020 1:45
57,295,spin,  1:44:39,2,1/12/2020 1:45,1/12/2020 1:45
58,617,wheels,  1:59:32,9,1/12/2020 1:59,1/12/2020 2:00
58,2062,birdla,  1:59:37,6,1/12/2020 2:00,1/12/2020 2:00
58,506,birdsm,  1:59:37,10,1/12/2020 2:00,1/12/2020 2:00
58,5234,lime,  1:59:35,-10,1/12/2020 2:00,1/12/2020 2:00
58,297,spin,  1:59:38,2,1/12/2020 2:00,1/12/2020 2:00
59,621,wheels,  2:15:30,4,1/12/2020 2:15,1/12/2020 2:15
59,2067,birdla,  2:15:35,5,1/12/2020 2:15,1/12/2020 2:15
59,519,birdsm,  2:15:36,13,1/12/2020 2:15,1/12/2020 2:15
59,5222,lime,  2:15:33,-12,1/12/2020 2:15,1/12/2020 2:15
59,300,spin,  2:15:36,3,1/12/2020 2:15,1/12/2020 2:15
60,620,wheels,  2:29:29,-1,1/12/2020 2:29,1/12/2020 2:30
60,2089,birdla,  2:29:34,22,1/12/2020 2:30,1/12/2020 2:30
60,521,birdsm,  2:29:34,2,1/12/2020 2:30,1/12/2020 2:30
60,5211,lime,  2:29:32,-11,1/12/2020 2:30,1/12/2020 2:30
60,300,spin,  2:29:35,0,1/12/2020 2:30,1/12/2020 2:30
61,613,wheels,  2:44:28,-7,1/12/2020 2:44,1/12/2020 2:45
61,2103,birdla,  2:44:32,14,1/12/2020 2:45,1/12/2020 2:45
61,512,birdsm,  2:44:33,-9,1/12/2020 2:45,1/12/2020 2:45
61,5193,lime,  2:44:31,-18,1/12/2020 2:45,1/12/2020 2:45
61,297,spin,  2:44:33,-3,1/12/2020 2:45,1/12/2020 2:45
62,616,wheels,  2:59:26,3,1/12/2020 2:59,1/12/2020 3:00
62,2087,birdla,  2:59:31,-16,1/12/2020 3:00,1/12/2020 3:00
62,514,birdsm,  2:59:31,2,1/12/2020 3:00,1/12/2020 3:00
62,5173,lime,  2:59:29,-20,1/12/2020 3:00,1/12/2020 3:00
62,300,spin,  2:59:32,3,1/12/2020 3:00,1/12/2020 3:00
63,617,wheels,  3:15:24,1,1/12/2020 3:15,1/12/2020 3:15
63,2064,birdla,  3:15:30,-23,1/12/2020 3:15,1/12/2020 3:15
63,514,birdsm,  3:15:30,0,1/12/2020 3:15,1/12/2020 3:15
63,5162,lime,  3:15:27,-11,1/12/2020 3:15,1/12/2020 3:15
63,299,spin,  3:15:31,-1,1/12/2020 3:15,1/12/2020 3:15
64,619,wheels,  3:29:23,2,1/12/2020 3:29,1/12/2020 3:30
